firstname,p_r_f_his,p_r_f_whi,p_r_f_bla,p_r_f_asi,p_r_f_oth
JASON,0.01667372,0.935421075,0.0157427,0.028607702,0.003554803
JASPER,0.017241379,0.689655172,0.224137931,0.068965517,0
JASWINDER,0,0.131147541,0.016393443,0.786885246,0.06557377
JATINDER,0,0.275,0,0.7,0.025
JAVIER,0.945054945,0.048951049,0,0.004995005,0.000999001
JAY,0.014095238,0.919619048,0.008380952,0.052190476,0.005714286
JAYANT,0,0.28125,0,0.65625,0.0625
JAYE,0,0.923076923,0.051282051,0.025641026,0
JAYESH,0,0.090909091,0,0.840909091,0.068181818
JAYME,0.0234375,0.9609375,0.015625,0,0
JAYNE,0.011820331,0.955082742,0.004728132,0.021276596,0.007092199
JAYSON,0.028089888,0.853932584,0.016853933,0.095505618,0.005617978
JEAN,0.014917277,0.873609981,0.075671277,0.032275563,0.003525902
JEANA,0.032258065,0.935483871,0,0.032258065,0
JEANETTE,0.059079062,0.834057341,0.086880973,0.016507385,0.003475239
JEANIE,0.021126761,0.922535211,0.014084507,0.035211268,0.007042254
JEANINE,0.002695418,0.935309973,0.053908356,0.005390836,0.002695418
JEANMARIE,0,0.950819672,0.032786885,0.016393443,0
JEANNA,0.022727273,0.943181818,0.022727273,0.011363636,0
JEANNE,0.005675955,0.963880289,0.009803922,0.019091847,0.001547988
JEANNETTE,0.093676815,0.840749415,0.044496487,0.018735363,0.00234192
JEANNIE,0.045801527,0.829516539,0.012722646,0.109414758,0.002544529
JEANNINE,0,0.973509934,0.01986755,0.006622517,0
JEB,0,1,0,0,0
JED,0,1,0,0,0
JEDIDIAH,0,0.941176471,0.029411765,0.029411765,0
JEE,0,0,0,1,0
JEFF,0.008835759,0.952182952,0.005717256,0.030665281,0.002598753
JEFFEREY,0,0.894736842,0.052631579,0.052631579,0
JEFFERSON,0.018292683,0.823170732,0.054878049,0.097560976,0.006097561
JEFFERY,0.006057547,0.943462898,0.035840485,0.012115093,0.002523978
JEFFREY,0.006901799,0.967393076,0.010216836,0.013151459,0.00233683
JEFFRY,0.008368201,0.949790795,0,0.025104603,0.016736402
JELENA,0,1,0,0,0
JENA,0.012987013,0.896103896,0.051948052,0.038961039,0
JENELL,0.032258065,0.741935484,0.225806452,0,0
JENELLE,0.057692308,0.846153846,0.096153846,0,0
JENIFER,0.010948905,0.97080292,0.01459854,0,0.003649635
JENINE,0,0.975,0.025,0,0
JENNA,0.019444444,0.958333333,0.008333333,0.013888889,0
JENNI,0.085106383,0.872340426,0,0.042553191,0
JENNIE,0.066974596,0.799076212,0.025404157,0.099307159,0.009237875
JENNIFER,0.019425501,0.944358338,0.011985948,0.02216367,0.002066543
JENNINE,0,1,0,0,0
JENNY,0.07254902,0.692156863,0.006862745,0.225490196,0.002941176
JENS,0,1,0,0,0
JEONG,0,0,0,1,0
JERAD,0,0.967741935,0.032258065,0,0
JERALD,0.006968641,0.958188153,0.027874564,0.003484321,0.003484321
JERE,0,0.983050847,0,0.016949153,0
JEREMIAH,0.018145161,0.923387097,0.040322581,0.014112903,0.004032258
JEREMY,0.014508929,0.965959821,0.011160714,0.006417411,0.001953125
JERI,0.018691589,0.947040498,0.015576324,0.015576324,0.003115265
