firstname,p_f_r_his,p_f_r_whi,p_f_r_bla,p_f_r_asi,p_f_r_oth
ALEXANDRE,4.37E-05,3.06E-05,1.79E-05,1.80E-05,0
ALEXANDRIA,3.82E-05,3.56E-05,1.79E-05,2.40E-05,0.000116836
ALEXANDRU,1.09E-05,1.32E-05,0,0,0
ALEXEI,0,1.37E-05,0,0,0
ALEXEY,0,9.58E-06,0,0,0
ALEXIA,0,1.50E-05,3.57E-05,5.99E-06,0
ALEXIS,0.000349435,0.000160075,0.000205383,7.79E-05,0.000116836
ALF,0,6.84E-06,0,0,0
ALFONSO,0.002058388,2.87E-05,0.000169664,0.000131786,0.000116836
ALFRED,0.000687949,0.000427777,0.001000125,0.000347436,0.000350508
ALFREDA,5.46E-06,3.65E-06,0.000223242,5.99E-06,0
ALFREDO,0.003024793,3.37E-05,4.46E-05,0.000323475,0
ALI,5.46E-05,0.000170564,0.000196453,0.000599028,0.000934689
ALIA,1.09E-05,1.00E-05,8.93E-06,3.00E-05,0
ALICE,0.000513232,0.000702777,0.001080492,0.000940475,0.001168361
ALICIA,0.002287705,0.000522636,0.000910828,0.000281543,0.00058418
ALICJA,0,1.41E-05,0,0,0
ALIDA,4.37E-05,1.14E-05,8.93E-06,0,0
ALINA,0.000158338,4.56E-05,2.68E-05,3.00E-05,0
ALINE,5.46E-06,2.14E-05,5.36E-05,2.40E-05,0
ALIREZA,5.46E-06,3.10E-05,0,2.40E-05,0
ALISA,3.82E-05,0.000133623,0.000223242,7.79E-05,0
ALISHA,3.82E-05,8.25E-05,0.000196453,5.99E-06,0.000233672
ALISON,6.01E-05,0.000616127,0.000160734,0.000131786,0.000116836
ALISSA,1.64E-05,9.76E-05,3.57E-05,1.20E-05,0.000116836
ALISTAIR,0,1.19E-05,0,0,0
ALIX,1.09E-05,1.28E-05,4.46E-05,5.99E-06,0.000116836
ALIZA,1.09E-05,1.23E-05,2.68E-05,0,0.000116836
ALKA,0,2.74E-06,0,0.000173718,0.000116836
ALLA,5.46E-06,5.70E-05,0,0,0
ALLAN,0.000125578,0.000447844,0.000187523,0.000497194,0.000467344
ALLEN,0.000109198,0.000773921,0.000767953,0.000593038,0.001168361
ALLENE,0,1.00E-05,6.25E-05,1.20E-05,0
ALLISON,6.01E-05,0.000771641,0.000303609,0.00020367,0.000350508
ALLYN,1.64E-05,2.37E-05,1.79E-05,0,0
ALLYSON,0,0.000111733,7.14E-05,1.20E-05,0
ALMA,0.001872751,8.80E-05,0.000392906,0.000185699,0
ALOK,0,3.65E-06,8.93E-06,0.000155747,0.000116836
ALON,0,1.37E-05,8.93E-06,1.20E-05,0
ALONSO,0.000229316,3.19E-06,8.93E-06,5.99E-06,0
ALONZO,8.19E-05,1.28E-05,0.000321469,1.20E-05,0
ALPHONSE,5.46E-06,1.87E-05,6.25E-05,0,0
ALPHONSO,2.18E-05,3.65E-06,0.000383977,5.99E-06,0
ALTA,0,1.96E-05,2.68E-05,5.99E-06,0
ALTAGRACIA,0.000212937,1.37E-06,0,5.99E-06,0
ALTHEA,1.09E-05,1.46E-05,0.000348258,2.40E-05,0
ALTON,5.46E-06,4.29E-05,0.000250031,1.80E-05,0.000116836
ALVA,9.83E-05,1.73E-05,9.82E-05,2.40E-05,0
ALVARO,0.001294,1.55E-05,0,5.99E-06,0
ALVIN,0.000125578,0.000169196,0.001116211,0.000455262,0
ALYCE,1.09E-05,4.24E-05,6.25E-05,5.99E-06,0
ALYCIA,1.09E-05,2.05E-05,3.57E-05,0,0
ALYSE,0,1.14E-05,0,0,0
ALYSIA,0,1.50E-05,0,0,0
ALYSON,1.09E-05,8.48E-05,2.68E-05,1.20E-05,0
ALYSSA,8.19E-05,0.000134536,8.93E-06,5.39E-05,0.000116836
AMADO,0.000240236,1.37E-06,0,0.000101835,0
AMADOR,0.000152878,9.12E-07,0,3.00E-05,0
AMAL,0,1.60E-05,3.57E-05,7.79E-05,0
AMALIA,0.000349435,1.73E-05,0,4.79E-05,0.000116836
AMANDA,0.000753468,0.001890338,0.000473273,0.000245602,0.002103049
AMAR,5.46E-06,9.12E-06,8.93E-06,0.000125796,0
AMARJIT,5.46E-06,3.19E-06,0,0.00022164,0
AMBER,0.000158338,0.000674958,0.00027682,7.19E-05,0.00058418
AMELIA,0.000529612,0.00012359,0.000214313,0.000281543,0
AMER,0,1.00E-05,0,6.59E-05,0
AMI,5.46E-06,4.29E-05,4.46E-05,8.99E-05,0
AMIE,1.64E-05,9.30E-05,7.14E-05,3.00E-05,0
AMIN,1.64E-05,1.41E-05,3.57E-05,7.79E-05,0.000116836
AMINA,0,6.38E-06,7.14E-05,4.79E-05,0
AMIR,2.18E-05,7.21E-05,4.46E-05,0.000227631,0.000467344
AMIT,0,2.65E-05,8.93E-06,0.001030329,0.000233672
AMITA,0,5.47E-06,0,0.000185699,0.000350508
AMOS,4.37E-05,3.06E-05,0.000205383,3.00E-05,0
AMPARO,0.000409494,3.19E-06,0,3.00E-05,0
AMY,0.000529612,0.004259988,0.000312539,0.001665299,0.002804066
AN,0,1.82E-06,0,0.00064096,0
ANA,0.006622878,0.000176948,0.000133945,0.000227631,0.000233672
ANABEL,0.000223857,2.74E-06,0,1.20E-05,0
ANAND,5.46E-06,1.37E-05,0,0.000611009,0.000467344
ANASTASIA,5.46E-06,6.80E-05,3.57E-05,1.20E-05,0.000116836
ANATOLIY,0,3.83E-05,0,0,0
ANATOLY,0,1.87E-05,0,5.99E-06,0
ANCA,0,8.67E-06,0,0,0
ANDERS,0,2.37E-05,0,5.99E-06,0
ANDERSON,4.91E-05,6.84E-06,0.000142875,4.19E-05,0
ANDRA,0,2.78E-05,5.36E-05,0,0.000116836
ANDRE,0.000180177,0.000155514,0.001803797,0.000119806,0.000350508
ANDREA,0.000982785,0.001725247,0.001848445,0.00020367,0.001285197
ANDREAS,5.46E-06,7.16E-05,2.68E-05,1.80E-05,0
ANDREI,1.09E-05,3.28E-05,1.79E-05,1.20E-05,0
ANDRES,0.002205806,2.78E-05,1.79E-05,8.39E-05,0.000116836
ANDREW,0.001124743,0.00465265,0.001651992,0.002012735,0.001869377
ANDREY,5.46E-06,5.06E-05,0,1.20E-05,0
ANDRIA,1.09E-05,2.19E-05,6.25E-05,1.80E-05,0
ANDRIY,0,1.55E-05,0,0,0
ANDRZEJ,0,8.07E-05,0,0,0
ANDY,0.000191097,0.000133623,8.04E-05,0.001281921,0.000467344
ANETA,0,2.23E-05,0,0,0
ANGEL,0.003352388,9.17E-05,0.00029468,0.000227631,0.000233672
ANGELA,0.001703494,0.002511482,0.004116586,0.000760766,0.002920902
ANGELIA,2.18E-05,3.37E-05,0.000178594,5.99E-06,0.000116836
ANGELICA,0.001763553,5.11E-05,1.79E-05,8.99E-05,0.000116836
ANGELIKA,0,1.92E-05,0,2.40E-05,0
ANGELINA,0.000545992,6.70E-05,8.93E-05,0.000191689,0.000350508
ANGELINE,5.46E-06,3.65E-05,3.57E-05,9.58E-05,0
ANGELIQUE,3.82E-05,4.93E-05,0.000187523,1.80E-05,0
ANGELITA,0.000185637,6.38E-06,3.57E-05,0.000197679,0.000116836
ANGELO,0.000278456,0.000187894,0.000133945,4.19E-05,0.000116836
ANGIE,0.000212937,0.000134079,8.93E-05,0.00021565,0
ANGUS,0,1.87E-05,0,1.20E-05,0
ANH,5.46E-06,3.65E-06,0,0.0010483,0
ANI,5.46E-06,1.64E-05,1.79E-05,3.00E-05,0
ANIBAL,0.000262076,2.74E-06,0,0,0
ANIL,1.09E-05,1.78E-05,1.79E-05,0.001024339,0.000116836
ANILA,0,6.38E-06,0,8.99E-05,0.000116836
ANISSA,5.46E-06,1.78E-05,7.14E-05,5.99E-06,0
ANITA,0.000726169,0.000701865,0.001384102,0.000994387,0.001168361
ANJA,5.46E-06,1.46E-05,1.79E-05,0,0
ANJALI,0,5.47E-06,0,0.000233621,0
ANJANA,0,3.65E-06,0,0.000149757,0
ANJANETTE,1.09E-05,1.05E-05,8.04E-05,0,0
ANJU,0,2.28E-06,0,0.000161738,0.000116836
ANKUR,5.46E-06,1.82E-06,8.93E-06,0.000161738,0
ANN,0.000256616,0.002228274,0.000723305,0.000754776,0.001285197
ANNA,0.001359519,0.001293822,0.000660797,0.001078251,0.000817853
ANNABEL,3.82E-05,8.67E-06,2.68E-05,1.80E-05,0
ANNABELLE,2.18E-05,2.23E-05,8.93E-06,8.99E-05,0.000116836
ANNALISA,0,1.64E-05,8.93E-06,5.99E-06,0
ANNAMARIA,3.28E-05,1.37E-05,0,5.99E-06,0
ANNAMARIE,3.82E-05,2.69E-05,0,5.99E-06,0.000116836
ANNE,0.000169257,0.001856591,0.000339328,0.000545116,0.000934689
ANNELIESE,5.46E-06,1.41E-05,0,0,0
ANNEMARIE,0,7.30E-05,2.68E-05,5.99E-06,0
ANNETTA,5.46E-06,1.64E-05,8.04E-05,5.99E-06,0.000116836
ANNETTE,0.000562371,0.000630721,0.001455539,0.000155747,0.000467344
ANNIE,0.000125578,0.000134079,0.001803797,0.000784727,0.000467344
ANNMARIE,1.64E-05,8.12E-05,5.36E-05,5.99E-06,0
ANSELMO,0.000174717,4.56E-06,0,1.80E-05,0
ANSON,0,9.58E-06,8.93E-06,8.39E-05,0
ANTHONY,0.002877376,0.003966746,0.006643688,0.001952833,0.004673443
ANTJE,0,8.67E-06,0,0,0
ANTOINE,1.64E-05,2.55E-05,0.000375047,1.80E-05,0
ANTOINETTE,0.000163797,0.00017558,0.000696516,4.79E-05,0.000467344
